id_entorno;nombre_entorno
1;PRUEBA                                                                                              
2;PRODUCTION                                                                                          
3;UAT                                                                                                 
4;CERT                                                                                                
5;cert-dev                                                                                            
6;no production                                                                                       
7;OIMPRE - OIMDEV                                                                                     
8;Ericcson                                                                                            
9;PRODUCTION1                                                                                         
10;Solicito que se le den permisos al usuario WUECRO17, pueden utilizar el usuario modelo wuedol02     
11;Fast                                                                                                
12;PRE                                                                                                 
13;PREPRODUCCION                                                                                       
14;na                                                                                                  
15;MIGRATION                                                                                           
16;RBM TST                                                                                             
17;Maqueta                                                                                             
18;TELXIUS                                                                                             
19;PREPRODUCTION                                                                                       
20;DEV                                                                                                 
21;gpllmmadpe01                                                                                        
22;RTP                                                                                                 
23;PRO                                                                                                 
24;DSS                                                                                                 
25;MIG                                                                                                 
26;FAST PRE                                                                                            
27;TRAFUL                                                                                              
28;Gran via                                                                                            
29;Usuario para PRE y PRO Produccion de FAST                                                           
30;CERT/DEV/DSS                                                                                        
31;FAST DEV                                                                                            
32;PRODUCCIÓN                                                                                          
33;PRE-PRODUCTION                                                                                      
34;*** ESTE ENTORNO NO PRODUCTIVO NO TIENE SLAs ASOCIADOS ***                                          
35;No Production                                                                                       
36;Ericsson                                                                                            
37;TST                                                                                                 
38;Planning5-test                                                                                      
39;TODO                                                                                                
40;CI                                                                                                  
41;sin produccion                                                                                      
42;Remedy                                                                                              
43;Production                                                                                          
44;N/A                                                                                                 
45;DEV, DSS and UAT                                                                                    
46;No aplica                                                                                           
47;PREPRODUCCIONT                                                                                      
48;RoD                                                                                                 
49;staging                                                                                             
50;PRE/DEV                                                                                             
51;PRE-PRODUCCIÓN                                                                                      
52;PRODUCION                                                                                           
53;RBM PRE                                                                                             
54;PRODUCTION - SMC                                                                                    
55;.                                                                                                   
56;https://pre-traful-elastic.telefonicabusinesssolutions.com/                                         
57;FW de OSS                                                                                           
58;RBM TST - ESB UAT                                                                                   
59;UAT                                                                                                 
60;BBDD PREPRODUCCIÓN                                                                                  
61;DWH                                                                                                 
62;RoD Certificación                                                                                   
63;Entorno UAT.                                                                                        
64;PRE PRODUCTION                                                                                      
65;CSPDWPRE                                                                                            
66;asasasas                                                                                            
67;Entorno de producción                                                                               
68;CERTIFICATION                                                                                       
69;p                                                                                                   
70;PLT                                                                                                 
71;PLT,UAT,CER                                                                                         
72;PROVISIÓN                                                                                           
73;CERT, DEV, MIG, PRE, DSS y ARAMIS                                                                   
74;PRODUCTION and PRER                                                                                 
75;O3P1                                                                                                
76;NO                                                                                                  
77;RBM MIG                                                                                             
78;DSS,DEV                                                                                             
79;--                                                                                                  
80;Tras actualizar Windows 10 (ver.1809) en el equipo me ha dejado de funcionar la segunda pantalla....
81;SUGUS DES - SF UAT                                                                                  
82;Não se aplica                                                                                       
83;LAB                                                                                                 
84;No productivo                                                                                       
85;MIG RBM                                                                                             
86;Nuevo entorno Apollo, es una PoC pero es importante tramitarlo con urgencia.                        
87;PRE-producción                                                                                      
88;PRETEFGAD                                                                                           
89;PRE,PLT,CERT                                                                                        
90;High                                                                                                
91;Capacity AlDI Prueba                                                                                
92;MIG, CERT                                                                                           
93;DESARROLLO                                                                                          
94;FAST varios entornos no productivos                                                                 
95;HCS - Cisco Satellite pruebas                                                                       
96;CERT + UAT                                                                                          
97;Capacity Managamente ALDI                                                                           
98;Capacity Management ALDI                                                                            
99;PRODUCTIO                                                                                           
100;PRE y PRO                                                                                           
101;pre.seda.telefonica.com                                                                             
102;UAT y PRO                                                                                           
103;PRE TRAFUL (pruebas para cliente)                                                                   
104;CATACOE                                                                                             
105;Remedy CERT-DEV                                                                                     
106;Capacity ALDI                                                                                       
107;OTRO                                                                                                
108;VPN service                                                                                         
109;Entorno de pruebas de Power Center enlazado con el entorno de pruebas de PBCS (planning3-test)      
110;CAPACITY                                                                                            
111;https://pre.fast.telefonica.com/                                                                    
112;UAT, CERT, PRE                                                                                      
113;PLT,CERT                                                                                            
114;RBM TEST                                                                                            
115;PRE/Staging                                                                                         
116;TOMs DEV                                                                                            
117;PLAT                                                                                                
118;SECOPS                                                                                              
119;BIEN                                                                                                
120;mCatalog y UAT                                                                                      
121;PRE,DSS,CER                                                                                         
122;sandbox (uat)                                                                                       
123;https://mig.fast.telefonica.com/common/uobject.jsp?tab=_Summary&object=9156796443413695539          
124;NOT NECESARY                                                                                        
125;UAT,MIG                                                                                             
126;PREPRODUCTION                                                                                       
127;PRE,PLT                                                                                             
128;uat preproduccion                                                                                   
129;DES.SUGUS                                                                                           
130;EMR PRE                                                                                             
131;PLT,PRE                                                                                             
132;PoC Apollo                                                                                          
133;Bluecoat                                                                                            
134;PRO TEST Cliente                                                                                    
135;work                                                                                                
136;Nueva máquina BDD Pangea                                                                            
137;pre.fast.telefonica.com                                                                             
138;ok                                                                                                  
139;mcatalog                                                                                            
140;CERTIFICACION                                                                                       
141;PRE- PRODUCTION                                                                                     
142;FAST & SALESFORCE                                                                                   
143;DEV,PRE                                                                                             
144;cert-dev                                                                                            
145;PRE EMR                                                                                             
146;PRE/UAT/MIG/CERT                                                                                    
147;ESBPRE                                                                                              
148;PREproductción                                                                                      
149; PREPRODUCCIÓN                                                                                      
150;RBM CERT                                                                                            
151;"https://telefonicab2b--mcatalog.cs17.my.salesforce.com/home/home.jsp?sdtd=1 ""M-Catalog"" de Bit2Win  "
152;TechLab con OSS                                                                                     
153;RBM UAT                                                                                             
154;SMC TEAM                                                                                            
155;GEM                                                                                                 
156;SMC EMEA                                                                                            
157;CERT2                                                                                               
158;PRE o RTP                                                                                           
159;CERT RBM                                                                                            
160;CER_DEV                                                                                             
161;Proxy Bluecoat                                                                                      
162;dev.fast.telefonica.com                                                                             
163;Entorno de PRE-Producción                                                                           
164;Entorno UAT                                                                                         
165;FAST PRE                                                                                            
166;FAST TOMS ENTORNO Preproduccion                                                                     
167;SUGUS de Desarrollo                                                                                 
168;Laboratorios de curso en línea                                                                      
169;.........                                                                                           
170;outolook                                                                                            
171;RBM PRODUCTION                                                                                      
172;Salesforce RTP                                                                                      
173;PostgreSQL PRE                                                                                      
174;Main access                                                                                         
175;" Environment https://telefonicab2b--mcatalog.cs17.my.salesforce.com/home/home.jsp?sdtd=1 ""M-Catal..."
176;TESTING                                                                                             
177;Preproducción y posteriormente Producción                                                           
178;BO PRE: srvmwpredwh02.tefgad.com                                                                    
179;Cert Dev                                                                                            
180;DEV HELIX 20.02                                                                                     
181;cert.fast.telefonica.com                                                                            
182;CERT AND PLAT                                                                                       
183;SRM                                                                                                 
184;UAT (from PRO DATA)                                                                                 
185;TRAFUL                                                                                              
186;Puede hacerse la demo en el entrono UAT                                                             
187;CERT, DEV, PLAT, PRE and MIG                                                                        
188;PREPODUCTION                                                                                        
189;PRE,UAT                                                                                             
190;PRE FAST cert-dev Remedy                                                                            
191;DEV, CERT, PLAT, MIG and PRE                                                                        
192;PRE, CERT, TEST y MIG                                                                               
193;BO de PRE                                                                                           
