id_incidencia;id_servicio;id_tipo_servicio;id_prioridad;id_estado;id_entorno;id_estado_cumplimiento_SLA;fecha_creacion;duracion_dias
INC002000000012;15;2;2;1;1;-1;2020/01/15 00:00:00.000;0,003506944
INC002000000013;32;2;2;2;2;2;2020/01/15 00:00:00.000;0,092893519
INC002000000014;108;2;1;2;2;2;2020/01/15 00:00:00.000;0,088368056
INC002000000016;70;2;2;2;2;3;2020/01/15 00:00:00.000;98,659166667
INC002000000017;13;4;3;2;3;-1;2020/01/15 00:00:00.000;19,615358796
INC002000000018;15;4;1;2;2;2;2020/01/15 00:00:00.000;7,615023148
INC002000000019;70;2;2;2;2;3;2020/01/15 00:00:00.000;56,613506944
INC002000000020;108;4;3;1;2;2;2020/01/15 00:00:00.000;0,001782407
INC002000000022;108;4;3;2;2;3;2020/01/15 00:00:00.000;55,14287037
INC002000000023;45;2;2;2;2;2;2020/01/15 00:00:00.000;7,898090278
INC002000000024;115;2;2;2;2;3;2020/01/15 00:00:00.000;14,601886574
INC002000000025;49;4;2;2;2;2;2020/01/15 00:00:00.000;9,599212963
INC002000000027;70;4;2;2;2;3;2020/01/15 00:00:00.000;49,595324074
INC002000000032;23;2;2;2;2;2;2020/01/15 00:00:00.000;9,582777778
INC002000000033;23;2;2;2;2;2;2020/01/15 00:00:00.000;9,581967593
INC002000000034;23;2;2;2;2;2;2020/01/15 00:00:00.000;9,581319444
INC002000000035;23;2;2;2;2;3;2020/01/15 00:00:00.000;9,580671296
INC002000000036;23;2;2;2;2;2;2020/01/15 00:00:00.000;9,580208333
INC002000000037;58;4;3;2;2;2;2020/01/15 00:00:00.000;7,576886574
INC002000000038;23;2;2;2;2;3;2020/01/15 00:00:00.000;12,576539352
INC002000000040;13;4;3;2;2;3;2020/01/15 00:00:00.000;12,575775463
INC002000000045;70;2;2;2;2;3;2020/01/15 00:00:00.000;7,565451389
INC002000000046;74;4;3;2;2;3;2020/01/15 00:00:00.000;9,565127315
INC002000000047;23;2;2;2;2;3;2020/01/15 00:00:00.000;12,559826389
INC002000000049;23;2;2;2;2;3;2020/01/15 00:00:00.000;12,542337963
INC002000000052;23;2;2;2;2;3;2020/01/15 00:00:00.000;12,541400463
INC002000000053;74;4;3;2;2;3;2020/01/15 00:00:00.000;8,540729167
INC002000000054;107;2;3;2;2;2;2020/01/15 00:00:00.000;8,51818287
INC002000000056;49;4;3;2;2;2;2020/01/15 00:00:00.000;7,487071759
INC002000000060;108;4;3;2;2;2;2020/01/15 00:00:00.000;8,459143519
INC002000000061;87;4;3;2;2;3;2020/01/15 00:00:00.000;8,449201389
INC002000000062;68;4;1;2;2;2;2020/01/15 00:00:00.000;8,433020833
INC002000000063;49;2;3;2;2;3;2020/01/15 00:00:00.000;9,435358796
INC002000000064;97;2;3;2;2;2;2020/01/15 00:00:00.000;8,431458333
INC002000000065;87;2;2;2;2;2;2020/01/15 00:00:00.000;7,43037037
INC002000000067;87;2;3;1;2;2;2020/01/15 00:00:00.000;0,008217593
INC002000000069;13;4;1;2;2;3;2020/01/15 00:00:00.000;210,434502315
INC002000000070;-1;2;2;2;2;2;2020/01/15 00:00:00.000;19,401666667
INC002000000072;23;2;2;2;2;3;2020/01/15 00:00:00.000;12,390092593
INC002000000073;23;2;2;2;2;3;2020/01/15 00:00:00.000;12,389490741
INC002000000076;99;2;3;2;2;2;2020/01/15 00:00:00.000;8,379328704
INC002000000079;49;4;3;2;2;3;2020/01/15 00:00:00.000;8,347256944
INC002000000080;115;2;2;2;2;3;2020/01/15 00:00:00.000;8,35244213
INC002000000084;13;2;3;2;2;3;2020/01/15 00:00:00.000;29,331851852
INC002000000086;115;2;2;2;2;3;2020/01/15 00:00:00.000;13,205856481
INC002000000088;97;2;1;2;2;2;2020/01/16 00:00:00.000;9,107118056
INC002000000089;70;4;2;2;2;2;2020/01/16 00:00:00.000;8,758935185
INC002000000090;101;4;3;2;2;3;2020/01/16 00:00:00.000;7,753136574
INC002000000092;70;4;2;2;2;3;2020/01/16 00:00:00.000;7,708506944
INC002000000093;37;2;2;1;4;-1;2020/01/16 00:00:00.000;71,142511574
INC002000000096;115;2;2;2;2;3;2020/01/16 00:00:00.000;14,654201389
INC002000000097;115;2;2;2;2;3;2020/01/16 00:00:00.000;14,652546296
INC002000000098;29;2;2;2;2;3;2020/01/16 00:00:00.000;12,647268519
INC002000000099;87;4;3;2;2;3;2020/01/16 00:00:00.000;11,641782407
INC002000000117;32;4;2;2;2;2;2020/01/15 00:00:00.000;7,595462963
INC002000000118;49;2;2;2;2;2;2020/01/15 00:00:00.000;7,596724537
INC002000000120;32;2;3;2;2;2;2020/01/15 00:00:00.000;7,591458333
INC002000000121;115;2;2;2;2;3;2020/01/15 00:00:00.000;7,587083333
INC002000000122;-1;1;2;2;2;2;2020/01/15 00:00:00.000;8,549768519
INC002000000127;115;2;2;2;2;2;2020/01/15 00:00:00.000;7,499571759
INC002000000128;12;2;2;2;2;3;2020/01/15 00:00:00.000;19,497627315
INC002000000131;97;2;1;2;2;2;2020/01/15 00:00:00.000;8,433275463
INC002000000133;72;4;3;2;2;2;2020/01/15 00:00:00.000;4,681712963
INC002000000138;26;4;1;2;2;3;2020/01/15 00:00:00.000;0,844803241
INC002000000140;32;2;2;2;2;2;2020/01/15 00:00:00.000;15,367581019
INC002000000141;70;4;2;2;2;3;2020/01/15 00:00:00.000;8,36375
INC002000000147;106;2;2;2;2;2;2020/01/16 00:00:00.000;14,705219907
INC002000000148;101;2;3;2;2;2;2020/01/16 00:00:00.000;7,690439815
INC002000000149;115;4;2;2;2;3;2020/01/16 00:00:00.000;7,688043981
INC002000000153;13;2;1;2;2;2;2020/01/16 00:00:00.000;14,671655093
INC002000000154;70;4;1;2;2;3;2020/01/16 00:00:00.000;8,665127315
INC002000000156;106;4;2;2;2;3;2020/01/16 00:00:00.000;14,650671296
INC002000000158;49;4;2;2;2;3;2020/01/16 00:00:00.000;194,67005787
INC002000000160;23;4;3;2;2;2;2020/01/16 00:00:00.000;7,589340278
INC002000000161;88;4;3;2;2;3;2020/01/16 00:00:00.000;46,5709375
INC002000000162;87;2;3;2;2;2;2020/01/16 00:00:00.000;7,554733796
INC002000000163;111;2;3;2;2;2;2020/01/16 00:00:00.000;7,550821759
INC002000000165;37;2;2;2;2;2;2020/01/16 00:00:00.000;11,486296296
INC002000000166;32;4;3;2;2;3;2020/01/16 00:00:00.000;18,466608796
INC002000000167;32;4;3;2;2;3;2020/01/16 00:00:00.000;14,461643519
INC002000000168;33;4;2;2;2;3;2020/01/16 00:00:00.000;20,445289352
INC002000000169;33;1;3;1;2;2;2020/01/16 00:00:00.000;0,025428241
INC002000000170;115;2;1;2;2;3;2020/01/16 00:00:00.000;7,442083333
INC002000000171;49;4;1;2;2;3;2020/01/16 00:00:00.000;12,429502315
INC002000000172;93;2;2;2;2;3;2020/01/16 00:00:00.000;14,426122685
INC002000000173;45;4;3;2;2;3;2020/01/16 00:00:00.000;11,980833333
INC002000000174;87;4;3;2;2;2;2020/01/16 00:00:00.000;11,424490741
INC002000000175;87;2;3;1;2;2;2020/01/16 00:00:00.000;0,000983796
INC002000000176;32;4;2;2;2;3;2020/01/16 00:00:00.000;14,41775463
INC002000000177;87;2;2;2;2;2;2020/01/16 00:00:00.000;8,4125
INC002000000178;101;2;1;2;2;2;2020/01/16 00:00:00.000;8,412384259
INC002000000179;115;2;2;2;2;3;2020/01/16 00:00:00.000;7,40087963
INC002000000180;87;2;3;1;2;2;2020/01/16 00:00:00.000;0,000185185
